ObservationDate;Confirmed
01/22/2020;1.0
01/22/2020;14.0
01/22/2020;6.0
01/22/2020;1.0
01/22/2020;0.0
01/22/2020;26.0
01/22/2020;2.0
01/22/2020;1.0
01/22/2020;4.0
01/22/2020;1.0
01/22/2020;0.0
01/22/2020;5.0
01/22/2020;0.0
01/22/2020;444.0
01/22/2020;4.0
01/22/2020;0.0
01/22/2020;1.0
01/22/2020;2.0
01/22/2020;0.0
01/22/2020;2.0
01/22/2020;1.0
01/22/2020;1.0
01/22/2020;0.0
01/22/2020;0.0
01/22/2020;2.0
01/22/2020;9.0
01/22/2020;1.0
01/22/2020;5.0
01/22/2020;1.0
01/22/2020;4.0
01/22/2020;0.0
01/22/2020;1.0
01/22/2020;0.0
01/22/2020;1.0
01/22/2020;10.0
01/22/2020;2.0
01/22/2020;2.0
01/22/2020;1.0
01/23/2020;9.0
01/23/2020;22.0
01/23/2020;9.0
01/23/2020;5.0
01/23/2020;2.0
01/23/2020;32.0
01/23/2020;5.0
01/23/2020;3.0
01/23/2020;5.0
01/23/2020;1.0
01/23/2020;2.0
01/23/2020;5.0
01/23/2020;2.0
01/23/2020;444.0
01/23/2020;9.0
01/23/2020;0.0
01/23/2020;5.0
01/23/2020;7.0
01/23/2020;1.0
01/23/2020;3.0
01/23/2020;2.0
01/23/2020;1.0
01/23/2020;0.0
01/23/2020;3.0
01/23/2020;6.0
01/23/2020;16.0
01/23/2020;1.0
01/23/2020;8.0
01/23/2020;1.0
01/23/2020;4.0
01/23/2020;0.0
01/23/2020;1.0
01/23/2020;2.0
01/23/2020;2.0
01/23/2020;27.0
01/23/2020;1.0
01/23/2020;3.0
01/23/2020;1.0
01/23/2020;1.0
01/23/2020;0.0
01/23/2020;0.0
01/23/2020;2.0
01/23/2020;0.0
01/23/2020;0.0
01/23/2020;0.0
01/23/2020;0.0
01/24/2020;549.0
01/24/2020;53.0
01/24/2020;43.0
01/24/2020;36.0
01/24/2020;27.0
01/24/2020;24.0
01/24/2020;23.0
01/24/2020;20.0
01/24/2020;18.0
01/24/2020;15.0
01/24/2020;15.0
01/24/2020;15.0
01/24/2020;10.0
01/24/2020;9.0
01/24/2020;9.0
01/24/2020;8.0
01/24/2020;8.0
01/24/2020;5.0
01/24/2020;5.0
01/24/2020;4.0
01/24/2020;4.0
01/24/2020;3.0
01/24/2020;3.0
01/24/2020;3.0
01/24/2020;2.0
01/24/2020;2.0
01/24/2020;2.0
01/24/2020;2.0
01/24/2020;2.0
01/24/2020;2.0
01/24/2020;1.0
01/24/2020;1.0
01/24/2020;0.0
01/24/2020;1.0
01/24/2020;1.0
01/24/2020;2.0
01/24/2020;5.0
01/24/2020;2.0
01/24/2020;3.0
01/24/2020;2.0
01/24/2020;2.0
01/25/2020;761.0
01/25/2020;78.0
01/25/2020;62.0
01/25/2020;57.0
01/25/2020;43.0
01/25/2020;41.0
01/25/2020;39.0
01/25/2020;33.0
01/25/2020;32.0
01/25/2020;28.0
01/25/2020;27.0
01/25/2020;23.0
01/25/2020;19.0
01/25/2020;18.0
01/25/2020;18.0
01/25/2020;18.0
01/25/2020;17.0
01/25/2020;15.0
01/25/2020;11.0
01/25/2020;10.0
01/25/2020;9.0
01/25/2020;8.0
01/25/2020;7.0
01/25/2020;6.0
01/25/2020;5.0
01/25/2020;4.0
01/25/2020;4.0
01/25/2020;4.0
01/25/2020;3.0
01/25/2020;3.0
01/25/2020;3.0
01/25/2020;2.0
01/25/2020;1.0
01/25/2020;1.0
01/25/2020;1.0
01/25/2020;2.0
01/25/2020;7.0
01/25/2020;2.0
01/25/2020;3.0
01/25/2020;2.0
01/25/2020;3.0
01/25/2020;4.0
01/25/2020;1.0
01/25/2020;3.0
01/26/2020;1058.0
01/26/2020;111.0
01/26/2020;104.0
01/26/2020;83.0
01/26/2020;75.0
01/26/2020;69.0
01/26/2020;68.0
01/26/2020;60.0
01/26/2020;46.0
01/26/2020;44.0
01/26/2020;40.0
01/26/2020;36.0
01/26/2020;36.0
01/26/2020;35.0
01/26/2020;33.0
01/26/2020;22.0
01/26/2020;22.0
01/26/2020;21.0
01/26/2020;16.0
01/26/2020;15.0
01/26/2020;14.0
01/26/2020;13.0
01/26/2020;9.0
01/26/2020;8.0
01/26/2020;7.0
01/26/2020;7.0
01/26/2020;5.0
01/26/2020;5.0
01/26/2020;4.0
01/26/2020;4.0
01/26/2020;4.0
01/26/2020;4.0
01/26/2020;1.0
01/26/2020;1.0
01/26/2020;1.0
01/26/2020;2.0
01/26/2020;1.0
01/26/2020;4.0
01/26/2020;8.0
01/26/2020;3.0
01/26/2020;4.0
01/26/2020;2.0
01/26/2020;3.0
01/26/2020;4.0
01/26/2020;1.0
